,,,,,,,
,Целью данного проекта было составление чек-листа на тестовый стенд https://test-stand.gb.ru/seminar_stands/umeet/index.html,,,,,,
,,,,,,,
,,,,,,,
№,Проверка,,,,,Статус,Комментарий
,"Блок ""Хедер""",,,,,,
1,Наличие фонового изображения,,,,,passed,
2,Наличие логотипа компании,,,,,passed,
3,Наличие  дат проведения,,,,,passed,
4,Наличие заголовка конференции,,,,,passed,
5,"Наличие кнопки ""Купить билеты""",,,,,passed,
6,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,,,,failed,"Кнопка ""Купить билеты"" ведет на https://dzen.ru/?yredirect=true"
,Блок с описанием конференции,,,,,,
7,"Наличие блока с описанием конференции под блоком ""Хедер""",,,,,passed,
8,"Наличие каунтера обратного отсчета до начала конференции под блоком ""Хедер""",,,,,passed,"Указаны значения в каунтере, хотя указанная дата уже прошла"
9,Наличие дат проведения конференции под каунтером,,,,,passed,
10,"Наличие кнопки ""Купить билеты""",,,,,failed,"Есть кликабельная надпись ""Купить билеты"", она не оформлена как копка."
11,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,,,,failed,"Кнопка ""Купить билеты"" ведет на https://dzen.ru/?yredirect=true"
,"Блок ""Почему стоит посетить""",,,,,,
12,"Наличие заголовка ""Почему стоит посетить""",,,,,passed,
13,"Наличие поинтов (изображение, название, описание) ",,,,,passed,
14,Наличие описания почему стоит посетить конференцию,,,,,failed,"Под поинтами отсутствует описание, почему стоит посетить конференцию"
15,"Наличие кнопки ""Подробнее"" под каждым поинтом",,,,,failed,"Кнопка ""Подробнее"" под каждым поинтом отсутствует"
16,"Наличие кнопки ""Узнать больше""",,,,,passed,
17,"Кнопка ""Узнать больше"" ведет на лендинг с описанием важности конференции",,,,,failed,"Кнопка ""Узнать больше"" неактивна"
18,"Наличие кнопки ""Купить билеты""",,,,,passed,
19,"Язык кнопки ""Купить билеты"" соответствует языку сайта",,,,,failed,"Язык кнопки отличается от языка сайта (""Buy ticket"")"
20,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,,,,failed,Кнопка неактивна
21,"Кнопка ""Купить билеты"" располагается ниже (правее кнопки ""Узнать больше"")",,,,,passed,
,"Блок ""Жюри""",,,,,,
22,Наличие галереи карточек членов жюри,,,,,failed,Первая карточка слева во втором ряду пустая
23,Наличие синей обводки у карточки,,,,,failed,Присутствует белая обводка вместо синей
24,Наличие изображения члена жюри в каждой из карточек,,,,,failed,"У членов жюри Сергей Зверев, Donald Markin, Иван Прокофьев и Денис Макеев совпадают изображения"
25,Наличие прямоугольного блока с именем и фамилией члена жюри,,,,,passed,
26,Расположение прямоугольного блока с именем и фамилией в нижней части каждой карточки,,,,,passed, 
27,Наличие должности у каждого члена жюри,,,,,passed,
28,Расположение должности члена жюри в нижней части каждой карточки				,,,,,passed,
29,Увеличение в размере карточки каждого члена жюри при наведении на нее курсора мыши,,,,,failed,Карточка каждого члена жюри при наведении на нее курсора мыши не увеличивается
30,Затемнение фона карточки каждого члена жюри при наведении на нее курсора мыши,,,,,passed,
31,"В блоке ""Жюри"" находится 4 столбца ",,,,,failed,"В блоке ""Жюри"" 3 столбца"
,"Блок ""Расписание""",,,,,,
32,"Наличие заголовка ""Расписание""",,,,,passed,
33,Наличие расписания докладов по дням,,,,,passed,
34,В расписании указано 4 дня конференции,,,,,passed,
35,Дни конференции представлены в виде табов,,,,,passed,
36,Наличие докладов в каждом из табов ,,,,,failed,Доклады отсутствуют во всех датах у всех спикеров
37,Доклады в табах представлены в виде карточек,,,,,failed,Доклады отсутствуют во всех датах у всех спикеров
38,Наличие фотографии спикера на каждой из карточек доклада,,,,,failed,Фотографии спикеров отсутствуют в 1 и 3 днях конференции
39,"Наличие названия компании, в которой работает спикер, на каждой из карточек доклада",,,,,failed,Названия компании отсутствуют у каждого спикера
40,Наличие блока с датой доклада,,,,,failed,Блоки с датой докладов отсутствуют в каждом табе
41,Расположение блока с датой доклада справа от фотографии,,,,,failed,Блоки с датой докладов отсутствуют в каждом табе
42,Наличие блока с описанием доклада,,,,,failed,Доклады отсутствуют во всех датах у всех спикеров
